pid,precip25,precip75,hotdays25,hotdays75,temp25,temp75
0,2008.074462890625,2591.474365234375,50.8709831237793,91.68704986572266,27.34433937072754,28.355884552001953
1,2008.074462890625,2591.474365234375,50.8709831237793,91.68704986572266,27.34433937072754,28.355884552001953
2,2008.074462890625,2591.474365234375,50.8709831237793,91.68704986572266,27.34433937072754,28.355884552001953
3,2008.074462890625,2591.474365234375,50.8709831237793,91.68704986572266,27.34433937072754,28.355884552001953
4,2008.074462890625,2591.474365234375,50.8709831237793,91.68704986572266,27.34433937072754,28.355884552001953
5,2008.074462890625,2591.474365234375,50.8709831237793,91.68704986572266,27.34433937072754,28.355884552001953
6,2008.074462890625,2591.474365234375,50.8709831237793,91.68704986572266,27.34433937072754,28.355884552001953
8,1922.6514892578125,2484.184326171875,46.09110641479492,92.066009521484375,27.482166290283203,28.47774314880371
10,2008.074462890625,2591.474365234375,50.8709831237793,91.68704986572266,27.34433937072754,28.355884552001953
11,2008.074462890625,2591.474365234375,50.8709831237793,91.68704986572266,27.34433937072754,28.355884552001953
12,2008.074462890625,2591.474365234375,50.8709831237793,91.68704986572266,27.34433937072754,28.355884552001953
13,2008.074462890625,2591.474365234375,50.8709831237793,91.68704986572266,27.34433937072754,28.355884552001953
14,2008.074462890625,2591.474365234375,50.8709831237793,91.68704986572266,27.34433937072754,28.355884552001953
15,1922.6514892578125,2484.184326171875,46.09110641479492,92.066009521484375,27.482166290283203,28.47774314880371
16,1922.6514892578125,2484.184326171875,46.09110641479492,92.066009521484375,27.482166290283203,28.47774314880371
17,1922.6514892578125,2484.184326171875,46.09110641479492,92.066009521484375,27.482166290283203,28.47774314880371
18,2008.074462890625,2591.474365234375,50.8709831237793,91.68704986572266,27.34433937072754,28.355884552001953
19,2008.074462890625,2591.474365234375,50.8709831237793,91.68704986572266,27.34433937072754,28.355884552001953
20,2008.074462890625,2591.474365234375,50.8709831237793,91.68704986572266,27.34433937072754,28.355884552001953
21,2008.074462890625,2591.474365234375,50.8709831237793,91.68704986572266,27.34433937072754,28.355884552001953
22,1922.6514892578125,2484.184326171875,46.09110641479492,92.066009521484375,27.482166290283203,28.47774314880371
23,1922.6514892578125,2484.184326171875,50.8709831237793,91.68704986572266,27.34433937072754,28.355884552001953
24,1922.6514892578125,2484.184326171875,46.09110641479492,92.066009521484375,27.482166290283203,28.47774314880371
25,1922.6514892578125,2484.184326171875,46.09110641479492,92.066009521484375,27.482166290283203,28.47774314880371
26,1922.6514892578125,2484.184326171875,46.09110641479492,92.066009521484375,27.482166290283203,28.47774314880371
27,1913.5966796875,2450.7666015625,38.751983642578125,87.64161682128906,27.71135711669922,28.701269149780273
28,1913.5966796875,2450.7666015625,38.751983642578125,87.64161682128906,27.71135711669922,28.701269149780273
29,1913.5966796875,2450.7666015625,38.751983642578125,87.64161682128906,27.71135711669922,28.701269149780273
30,1986.024169921875,2526.97607421875,19.728063583374023,53.02546310424805,27.16089630126953,28.13738441467285
31,1986.024169921875,2526.97607421875,19.728063583374023,53.02546310424805,27.16089630126953,28.13738441467285
32,1997.416259765625,2516.04931640625,19.728063583374023,53.02546310424805,27.16089630126953,28.13738441467285
33,2438.1728515625,3048.207763671875,64.3544921875,118.54010009765625,28.072446823120117,29.094350814819336
34,2438.1728515625,3048.207763671875,64.3544921875,118.54010009765625,28.072446823120117,29.094350814819336
35,2008.074462890625,2591.474365234375,50.8709831237793,91.68704986572266,27.34433937072754,28.355884552001953
36,2008.074462890625,2591.474365234375,50.8709831237793,91.68704986572266,27.34433937072754,28.355884552001953
37,1922.6514892578125,2484.184326171875,46.09110641479492,92.066009521484375,27.482166290283203,28.47774314880371
38,2008.074462890625,2591.474365234375,50.8709831237793,91.68704986572266,27.34433937072754,28.355884552001953
39,1922.6514892578125,2484.184326171875,46.09110641479492,92.066009521484375,27.482166290283203,28.47774314880371
40,1922.6514892578125,2484.184326171875,46.09110641479492,92.066009521484375,27.482166290283203,28.47774314880371
